account_number,account_name,family,source
0800,Gezeichnetes Kapital17) rü,Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
0809,Kapitalerhöhung aus Rü Gesellschaftsmitteln17) te,Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
0810,Geschäftsguthaben he der verbleibenden od Mitglieder17) be ne,Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
0811,Geschäftsguthaben Sa der ausscheidenden Rü Mitglieder17) An rü,Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
0812,Geschäftsguthaben An aus gekündigten Geschäftsanteilen17),Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
0813,"Rückständige fällige Einzahlungen auf Geschäftsanteile, vermerkt17)",Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
0815,"Gegenkonto An Rückständige fällige rü Einzahlungen auf Geschäftsanteile, vermerkt An",Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
0819,Erworbene eigene Anteile17),Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
0820,"Ausstehende -0829 99 Einlagen auf das gezeichnete Kapital, nicht eingefordert (Passivausweis, vom gezeichneten Kapital offen abgesetzt; eingeforderte ausstehende Einlagen s. Konten 0830-0838) Ge vo Eigenformular, Nachdruck – auch aus 0 Anlage- und Kapitalkonten",Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
0830,"Ausstehende Einlagen -0838 99 auf das gezeichnete Kapital, eingefordert (Forderungen, nicht eingeforderte ausstehende Einlagen s. Konten 0820-0829)",Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
0839,"Nachschüsse (Forderungen, Gegenkonto 0845) K 0840 00 Kapitalrücklage17) K 0841 00 Kapitalrücklage durch Ausgabe von Anteilen über Nennbetrag17) K 0842 00 Kapitalrücklage durch Ausgabe von Schuldverschreibungen für Wandlungsrechte und Optionsrechte zum Erwerb von Anteilen17) K 0843 00 Kapitalrücklage durch Zuzahlungen gegen Gewährung eines Vorzugs für Anteile17) K 0844 00 Kapitalrücklage durch Zuzahlungen in das Eigenkapital17) K 0845 00 Nachschusskapital (Gegenkonto 0839)17) K 0846 00 Gesetzliche Rücklage17) K 0848 00 Andere Gewinnrücklagen aus dem Erwerb eigener Anteile17)",Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
0849,Rücklage für Anteile an einem herrschenden oder mehrheitlich beteiligten Unternehmen K 0851 00 Satzungsmäßige Rücklagen17) K 0852 00 Andere Ergebnisrücklagen17),Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
0853,Gewinnrücklagen aus den Übergangsvor- schriften BilMoG11),Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
0854,Gewinnrücklagen aus den Übergangsvor- schriften BilMoG (Zuschreibung Sachanlagevermögen)11) K 0855 00 Andere Gewinnrücklagen17) K 0856 00 Eigenkapitalanteil von Wertaufholungen17),Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
0857,Gewinnrücklagen aus den Übergangsvor- schriften BilMoG (Zuschreibung Finanz- anlagevermögen)11),Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
0858,Gewinnrücklagen aus den Übergangsvor- schriften BilMoG (Auflösung der Sonderposten mit Rücklageanteil)11),Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
0859,Latente Steuern (Gewinnrücklage Haben) aus erfolgsneutralen Verrechnungen11) K 0860 00 Gewinnvortrag vor Verwendung17) Seite 5 gr.- 0 ind. Anlage- und Kapitalkonten hl.ck,Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
0865,Gewinnvortrag vor Verwendung (mit Aufteilung für Kapi- talkontenentwicklung),Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
0867,Verlustvortrag vor Verwendung (mit Aufteilung für Kapi- talkontenentwicklung) K 0868 00 Verlustvortrag vor Verwendung17),Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
0870,Festkapital (VH),Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
0871,"Kapital (fester Anteil, nur Einzelunterneh- men)22)",Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
0880,Variables Kapital (VH),Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
0881,"Kapital (variabler Anteil, nur Einzelunterneh- men)22)",Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
0890,Gesellschafter-Darlehen (VH),Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
0891,-0899 99,Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
0900,Kommandit-Kapital (TH),Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
0901,-0909 99,Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
0910,Verlustausgleichskonto (TH),Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
0911,-0919 99,Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
0920,Gesellschafter-Darlehen (TH),Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
0921,-0929 99,Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
0930,Übrige andere Sonderposten,Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
0931,Steuerfreie Rücklagen nach § 6b EStG,Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
0932,Rücklage für Ersatzbeschaffung,Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
0940,"Sonderposten mit Rücklageanteil, Sonderabschreibungen6)",Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
0945,Ausgleichsposten bei Entnahmen § 4g EStG,Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
0946,Rücklage für Zuschüsse,Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
0947,Sonderposten mit Rücklageanteil nach § 7g Abs. 5 EStG,Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
0948,"Sonderposten für Zuschüsse Dritter Eigenformular, Nachdruck – au 0 Anlage- und Kapitalkonten",Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
0949,Sonderposten für Investitionszulagen,Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
0950,Rückstellungen für Pensionen und ähnliche Verpflichtungen,Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
0951,Rückstellungen für Pensionen und ähnliche Verpflichtungen zur Saldierung mit Vermö- gensgegenständen zum langfristigen Verbleib nach § 246 Abs. 2 HGB,Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
0952,Rückstellungen für Pensionen und ähnliche Verpflichtungen gegenüber Gesellschaftern oder nahe stehenden Personen,Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
0953,Rückstellungen für Direktzusagen,Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
0954,Rückstellungen für Zu- schussverpflichtungen für Pensionskassen und Lebensversicherungen,Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
0955,Steuerrückstellungen,Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
0956,Gewerbesteuerrückstellung nach § 4 Abs. 5b EStG,Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
0961,Urlaubsrückstellungen,Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
0962,Steuerrückstellung für Steuerstundung (BStBK),Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
0963,Körperschaftsteuerrück- stellung,Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
0964,Rückstellungen für mit der Altersversorgung vergleichbare langfristige Verpflichtungen zum langfristigen Verbleib,Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
0965,Rückstellungen für Personalkosten,Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
0966,Rückstellungen zur Erfüllung der Aufbe- wahrungspflichten,Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
0967,Rückstellungen für mit der Altersversorgung vergleichbare langfristige Verpflichtungen zur Saldierung mit Vermö- gensgegenständen zum langfristigen Verbleib nach § 246 Abs. 2 HGB,Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
0968,Passive latente Steuern,Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
0969,Rückstellungen für latente Steuern,Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
0970,Sonstige Rückstellungen,Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
0971,"Rückstellungen für unterlassene Aufwendungen für Instandhaltung, Nachholung in den ersten drei Monaten",Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
0973,Rückstellungen für Abraum- und Abfallbeseitigung,Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
0974,Rückstellungen für Gewährleistungen (Gegenkonto 4790),Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
0976,Rückstellungen für drohende Verluste aus schwebenden Geschäften,Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
0977,Rückstellungen für Abschluss- und Prüfungskosten,Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
0978,-0978 99,Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
0979,Rückstellungen für Umweltschutz,Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
0980,Aktive Rechnungsabgrenzung,Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
0983,Aktive latente Steuern,Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
