rank,lemma,PoS,freq,perMil,disp
573,clear,j,168587,169.77,0.98
574,brother,n,167417,168.59,0.98
575,matter,n,167351,168.53,0.98
576,dead,j,167302,168.48,0.97
577,image,n,167053,168.23,0.95
578,star,n,167036,168.21,0.96
579,cost,n,166775,167.95,0.95
580,simply,r,166556,167.73,0.96
581,post,n,166265,167.43,0.91
582,society,n,165769,166.93,0.94
583,picture,n,165703,166.87,0.98
584,piece,n,165538,166.7,0.98
585,paper,n,165070,166.23,0.97
586,energy,n,164622,165.78,0.95
587,personal,j,164270,165.42,0.97
588,building,n,164119,165.27,0.97
589,military,j,163555,164.7,0.94
590,open,j,163231,154.37,0.98
591,doctor,n,163129,164.28,0.98
592,activity,n,162943,164.09,0.91
593,exactly,r,162663,163.81,0.97
594,american,n,162614,163.76,0.95
595,media,n,162177,163.32,0.95
596,miss,v,162066,163.2,0.99
597,evidence,n,162050,163.19,0.96
598,product,n,161999,163.14,0.95
599,realize,v,161762,162.9,0.98
600,save,v,161469,162.6,0.99
601,arm,n,161185,162.32,0.92
602,technology,n,160819,161.95,0.94
603,catch,v,160594,161.72,0.97
604,comment,n,160451,161.58,0.9
605,look,n,160145,161.27,0.97
606,term,n,160014,161.14,0.95
607,color,n,160011,161.14,0.91
608,cover,v,159606,160.73,0.98
609,describe,v,159521,160.64,0.94
610,guess,v,159454,160.57,0.96
611,choice,n,159277,160.4,0.98
612,source,n,158588,159.7,0.95
613,mom,n,158511,159.62,0.95
614,soon,r,158194,159.31,0.98
615,director,n,158028,159.14,0.94
616,international,j,157724,158.83,0.94
617,rule,n,157468,158.57,0.96
618,campaign,n,157373,158.48,0.92
619,ground,n,156706,157.81,0.97
620,election,n,156532,157.63,0.93
621,face,v,156455,157.55,0.98
622,uh,u,156333,157.43,0.84
623,check,v,155591,156.68,0.98
624,page,n,154863,155.95,0.95
625,fight,v,154643,155.73,0.99
626,itself,p,154505,155.59,0.96
627,test,n,154189,155.27,0.95
628,patient,n,154125,155.21,0.92
629,produce,v,154082,155.16,0.95
630,certain,j,154059,155.14,0.97
631,whatever,d,153872,154.95,0.98
632,half,d,153688,154.77,0.98
633,video,n,153563,154.64,0.93
634,support,n,152769,153.84,0.94
635,throw,v,152388,153.46,0.98
636,third,m,152339,153.41,0.97
637,care,v,152255,153.32,0.98
638,rest,n,151864,152.93,0.98
639,recent,j,151697,152.76,0.95
640,available,j,151406,152.47,0.95
641,step,n,151394,152.46,0.97
642,ready,j,151349,149.22,0.99
643,opportunity,n,151226,152.29,0.96
644,official,n,150423,151.48,0.91
645,oil,n,150410,151.47,0.94
646,call,n,149896,150.95,0.98
647,organization,n,149261,150.31,0.94
648,character,n,148825,149.87,0.95
649,single,j,148796,149.84,0.98
650,current,j,148387,149.43,0.95
651,likely,j,148216,149.26,0.95
652,county,n,148165,149.21,0.89
653,future,n,147923,148.96,0.97
654,dad,n,147520,148.56,0.94
655,whose,d,147491,148.53,0.96
656,less,d,147290,148.32,0.97
657,shoot,v,147137,148.17,0.98
658,industry,n,146746,147.78,0.95
659,second,n,146634,147.66,0.99
660,list,n,146495,147.52,0.97
661,general,j,146275,147.3,0.95
662,stuff,n,145992,147.02,0.97
663,figure,n,145812,146.84,0.91
664,attention,n,145669,146.69,0.98
665,forget,v,145557,146.58,0.98
666,risk,n,145334,146.36,0.94
667,no,r,144919,145.94,0.98
668,focus,v,144896,145.91,0.96
669,short,j,144842,145.86,0.98
670,fire,n,144750,145.77,0.98
671,dog,n,144648,145.66,0.97
672,red,j,144046,145.14,0.96
673,hair,n,143875,144.89,0.91
674,point,v,143750,144.76,0.97
675,condition,n,143732,144.74,0.94
676,wall,n,143389,144.4,0.94
677,daughter,n,142747,143.75,0.98
678,before,r,142673,143.68,0.98
679,deal,n,142589,143.59,0.97
680,author,n,142352,143.35,0.94
681,truth,n,142017,143.01,0.98
682,upon,i,141420,142.41,0.95
683,husband,n,141289,142.28,0.98
684,period,n,141173,142.16,0.94
685,series,n,140231,141.22,0.95
686,order,n,140025,141.01,0.98
687,officer,n,139938,140.92,0.95
688,close,j,139704,140.69,0.99
689,land,n,139579,140.56,0.96
690,note,v,139111,140.09,0.94
691,computer,n,139082,140.06,0.96
692,thought,n,139016,139.99,0.97
693,economy,n,138752,139.73,0.94
694,goal,n,138693,139.67,0.94
695,bank,n,138673,139.65,0.96
696,behavior,n,138400,139.37,0.89
697,sound,v,138386,139.36,0.98
698,deal,v,138197,139.17,0.97
699,certainly,r,138162,139.13,0.95
700,nearly,r,138034,139.0,0.96
701,increase,v,137709,138.68,0.94
702,act,n,137668,138.64,0.95
703,north,n,137666,138.63,0.96
704,well,i,137599,138.57,0.94
